"","week","home_team","home_points","away_team","away_points","conference_game"
"298",5,"Syracuse",41,"Holy Cross",3,FALSE
"299",5,"Iowa",48,"Middle Tennessee",3,FALSE
"300",5,"Oklahoma",55,"Texas Tech",16,TRUE
"301",5,"Vanderbilt",24,"Northern Illinois",18,FALSE
"302",5,"Pittsburgh",17,"Delaware",14,FALSE
"303",5,"Baylor",23,"Iowa State",21,TRUE
"304",5,"Charlotte",27,"Florida Atlantic",45,TRUE
"305",5,"Temple",24,"Georgia Tech",2,FALSE
"306",5,"Appalachian State",56,"Coastal Carolina",37,TRUE
"307",5,"UMass",37,"Akron",29,FALSE
"308",5,"Alabama",59,"Ole Miss",31,TRUE
"309",5,"Notre Dame",35,"Virginia",20,FALSE
"310",5,"Purdue",31,"Minnesota",38,TRUE
"311",5,"Washington",28,"USC",14,TRUE
"312",5,"Michigan State",40,"Indiana",31,TRUE
"313",5,"North Carolina",20,"Clemson",21,TRUE
"314",5,"Boston College",24,"Wake Forest",27,TRUE
"315",5,"Florida",38,"Towson",0,FALSE
"316",5,"South Florida",21,"SMU",48,TRUE
"317",5,"Marshall",14,"Cincinnati",52,FALSE
"318",5,"Georgia Southern",24,"Louisiana",37,TRUE
"319",5,"Old Dominion",21,"East Carolina",24,FALSE
"320",5,"Troy",43,"Arkansas State",50,TRUE
"321",5,"Liberty",17,"New Mexico",10,FALSE
"322",5,"Western Kentucky",20,"UAB",13,TRUE
"323",5,"Auburn",56,"Mississippi State",23,TRUE
"324",5,"Texas State",24,"Nicholls",3,FALSE
"325",5,"Oregon State",28,"Stanford",31,TRUE
"326",5,"Rice",20,"Louisiana Tech",23,TRUE
"327",5,"Southern Mississippi",31,"UTEP",13,TRUE
"328",5,"Louisiana Monroe",30,"South Alabama",17,TRUE
"329",5,"Oklahoma State",26,"Kansas State",13,TRUE
"330",5,"UCF",56,"Connecticut",21,TRUE
"331",5,"Florida State",31,"NC State",13,TRUE
"332",5,"Nebraska",7,"Ohio State",48,TRUE
"333",5,"South Carolina",24,"Kentucky",7,TRUE
"334",5,"Utah State",34,"Colorado State",24,TRUE
"335",5,"Wyoming",53,"UNLV",17,TRUE
"336",5,"New Mexico State",17,"Fresno State",30,FALSE
"337",5,"North Texas",25,"Houston",46,FALSE
"338",5,"Utah",38,"Washington State",13,TRUE
"339",5,"Nevada",3,"Hawai'i",54,TRUE
"340",5,"Arizona",20,"UCLA",17,TRUE
"341",6,"South Alabama",17,"Georgia Southern",20,TRUE
"342",6,"East Carolina",17,"Temple",27,TRUE
"343",6,"Cincinnati",27,"UCF",24,TRUE
"344",6,"San José State",32,"New Mexico",21,TRUE
"345",6,"Texas Tech",45,"Oklahoma State",35,TRUE
"346",6,"Connecticut",22,"South Florida",48,TRUE
"347",6,"Wisconsin",48,"Kent State",0,FALSE
"348",6,"Rutgers",7,"Maryland",48,TRUE
"349",6,"Army",33,"Tulane",42,FALSE
"350",6,"Michigan",10,"Iowa",3,TRUE
"351",6,"Penn State",35,"Purdue",7,TRUE
"352",6,"LSU",42,"Utah State",6,FALSE
"353",6,"Kansas",20,"Oklahoma",45,TRUE
"354",6,"Louisville",41,"Boston College",39,TRUE
"355",6,"Iowa State",49,"TCU",24,TRUE
"356",6,"Central Michigan",42,"Eastern Michigan",16,TRUE
"357",6,"Buffalo",20,"Ohio",21,TRUE
